account_id,nickname,od_name,team_key,position,fantasy_slot,liquipedia_page
124801257,Nightfall,Nightfall,aurora,1,safelane,Nightfall
301750126,Mikoto,Mikoto,aurora,2,mid,Mikoto
126842529,Ws,Ws`,aurora,3,offlane,Ws
256156323,Mira,Mira,aurora,4,support,Mira
320219866,kaori,kaori,aurora,5,support,Kaori
172099728,Kiritych~,Kiritych~,boomboys,1,safelane,Kiritych
480412663,gpk~,gpk~,boomboys,2,mid,Gpk
165564598,MieRo,MieRo,boomboys,3,offlane,MieRo
317880638,Save-,Save-,boomboys,4,support,Save-
196878136,Kataomi,Kataomi`,boomboys,5,support,Kataomi
100058342,skiter,skiter,falcons,1,safelane,Skiter
898455820,Malr1ne,Malr1ne,falcons,2,mid,Malr1ne
183719386,ATF,AMMAR_THE_F,falcons,3,offlane,ATF
25907144,Cr1t-,Cr1t-,falcons,4,support,Cr1t-
10366616,Sneyking,Sneyking,falcons,5,support,Sneyking
206642367,Ghost,Ghost,gamerlegion,1,safelane,Ghost_(Daniel_Chan)
154974246,RCY,RCY,gamerlegion,2,mid,RCY
160119017,Fayde,Fayde,gamerlegion,3,offlane,Fayde
90423751,Bignum,Bignum,gamerlegion,4,support,Bignum
191362875,Speeed,Speeed,gamerlegion,5,support,Speeed
320017600,ssnovv1,ssnovv1,huligani,1,safelane,Ssnovv1
140251702,Mirage`,Mirage`雨,huligani,2,mid,Mirage%60
92487440,Corrupted,Corrupted,huligani,3,offlane,Vazya
145065875,sayuw,sayuw,huligani,4,support,Sayuw
123787715,RESPECT,RESPECT,huligani,5,support,RESPECT
331855530,Pure,Pure,iron_wing,1,safelane,Pure_(Russian_player)
93618577,bzm,bzm,iron_wing,2,mid,Bzm
86698277,33,33,iron_wing,3,offlane,33
346412363,Ari,Ari,iron_wing,4,support,Ari
136829091,Whitemon,Whitemon,iron_wing,5,support,Whitemon
177203952,Yuma,Yuma,lgd,1,safelane,Yuma
1026694469,TaiLung,TaiLung,lgd,2,mid,TaiLung
292921272,Wisper,Wisper,lgd,3,offlane,Wisper
105045291,Thiolicor,Thiolicor,lgd,4,support,Thiolicor
81306398,KJ,KingJungles,lgd,5,support,KJ
152962063,m1CKe,m1CKe,liquid,1,safelane,MiCKe
201358612,Nisha,Nisha,liquid,2,mid,Nisha
97590558,Ace,Ace ♠,liquid,3,offlane,Ace
77490514,Boxi,Boxi,liquid,4,support,Boxi
16497807,tOfu,tOfu,liquid,5,support,TOfu
111620041,SumaiL,SumaiL-,nigma,1,safelane,SumaiL
210053851,lorenof,lorenof,nigma,2,mid,Lorenof
138880576,Davai,Davai,nigma,3,offlane,Davai
152168157,OmaR,OmaR,nigma,4,support,OmaR
101356886,GH,GH,nigma,5,support,GH
355168766,Natsumi,Natsumi,og,1,safelane,Natsumi-
324277900,Yopaj-,Yopaj-,og,2,mid,Yopaj
132309493,Raven,Raven,og,3,offlane,Raven
155494381,TIMS,TIMS,og,4,support,TIMS
100594231,skem,skem,og,5,support,Skem
170896543,YSR-04E,YSR-04E,resilience,1,safelane,Erika
315272623,Echozz,Echozz,resilience,2,mid,Echo
145957968,niu,niu,resilience,3,offlane,Niu
150961567,planet,planet,resilience,4,support,Planet
249835593,zzq,zzq,resilience,5,support,Zzq
321580662,Yatoro,Yatoro,spirit,1,safelane,Yatoro
106305042,Larl,Larl,spirit,2,mid,Larl
302214028,Collapse,Collapse,spirit,3,offlane,Collapse
218231587,not me,not_me,spirit,4,support,Not_me
847565596,rue,rue,spirit,5,support,Rue
320252024,shiro,shiro,vici,1,safelane,Shiro
137129583,Xm,Xm,vici,2,mid,Xm
118134220,Bach,Bach,vici,3,offlane,Faith_bian
157475523,XinQ,XinQ,vici,4,support,XinQ
111114687,y`,y`,vici,5,support,Y%60
1044002267,Satanic,Satanic,vision,1,safelane,Satanic_(Russian_player)
106573901,No[o]ne-,No[o]ne-,vision,2,mid,Noone
195108598,Noticed,Noticed,vision,3,offlane,Noticed
164199202,9Class,9Class,vision,4,support,9Class
73401082,Dukalis,Dukalis,vision,5,support,Dukalis
898754153,Ame,Ame,xtreme,1,safelane,Ame
173978074,NothingToSay,NothingToSay,xtreme,2,mid,NothingToSay
129958758,Xxs,Xxs,xtreme,3,offlane,Xxs
101695162,fy,fy,xtreme,4,support,Fy
94296097,xNova,xNova,xtreme,5,support,XNova
171262902,watson,医者watson`,yandex,1,safelane,Watson
312436974,CHIRA_JUNIOR,CHIRA_JUNIOR,yandex,2,mid,CHIRA_JUNIOR
56351509,DM,DM,yandex,3,offlane,DM
103735745,Saksa,Saksa,yandex,4,support,Saksa
93817671,Malady,Maladych,yandex,5,support,Malady
